Product Type,Product/Title,Plot/Notes
Adhesives,Loctite,"""Positive Feelings"""
Airlines,"Turkish Airlines """"""Five Senses""""""",Dr. Oz talks about discovering the world using the five senses.[111][112][113]
Alcohol,"Bon & Viv Spiked Seltzer """"""The Pitch""""""","Two mermaids ""pitch"" Bon & Viv Spiked Seltzer to actual sharks.[180]"
Alcohol,"Bud Light """"""Special Delivery""""""","The Bud Light King mistakenly receives a gigantic barrel of corn syrup, which his followers attempt to gift to Coors Light and Miller Lite instead, since Bud Light does not use corn syrup as an ingredient.[181][182]"
Alcohol,"Budweiser """"""Wind Never Felt Better""""""","A dalmatian rides a cart pulled by the Clydesdales through a wind farm at Tejon Ranch, promoting the brand's commitment to using renewable energy in its production process.[185][186]"
Alcohol,"Hennessy """"""Major""""""",Track cyclist of the 1890s and 1900s Major Taylor reaches the end of a race where the only competitor is himself.[187][188]
Alcohol,"Michelob Ultra """"""Robots""""""",
Alcohol,"Michelob Ultra Pure Gold """"""The Pure Experience""""""","ZoÃ« Kravitz invites viewers to experience an ASMR sensation inspired by the new lite ""Pure Gold"" brew.[189][190]"
Alcohol,"Stella Artois """"""Change Up the Usual""""""","At a bar, Sarah Jessica Parker decides to order a Stella Artois rather than a cosmopolitan (the signature drink of her Sex and the City character Carrie Bradshaw). Jeff Bridges (in a portrayal of his The Big Lebowski character ""The Dude"") follows suit by similarly declining a White Russian in favor of a ""Stella Artose"".[191]"
Alcohol / TV series,Bud Light Game of Thrones,"""Joust"""
Antifungal medication,"Jublia """"""Tackle It""""""",Antifungal topical.[21]
Beer,"Miller Lite""Train""",
Beer,Budweiser,"""Bud Bowl I"""
Beer,Budweiser,"""Frogs"""
Beer,"Bud Light""Chicken Pool""",A man challenges a pool player with his chicken. The chicken wins the game by shooting eggs.
Beer,"Bud Light""Shopping""","A man is bored while his wife is clothes shopping. He hears a voice in one of the clothing racks, and finds four of his buddies watching the game.Cast: Sean Hayes, Kathy Christopherson."
Beer,"Budweiser""Master Plan""","In a six-part commercial story, Louie the Lizard tries to kill off the Budweiser Frogs. It goes like this:1. Louie tells the frogs to enjoy the first half, because they may not be around for the second.2. Louie denies rumors from Frank that he's going to kill the Frogs.3. The Ferret, Louie's accomplice, drops the Budweiser sign into the swamp, electrocuting the frogs.4. Louie says it's the best day of his life, until he sees that the Frogs have survived.5. Louie rants to the Ferret that he screwed up the job.6. Louie apologizes for trying to kill the Frogs, saying it was purely for entertainment reasons."
Beer,"Bud Light""Paper or Plastic""","Two guys are trying to pay for their items, but they do not have enough. They get rid of some items, and are left with toilet paper and Bud Light, but it is not enough. Choosing between the two, they choose Bud Light."
Beer,"Budweiser""Dalmatians""","At a firehouse, two Dalmatian puppies roll around in a basket. The puppy with the blue collar is picked as the fire dog, in which[clarification needed] it sticks its tongue at his brother with a red collar. Two years pass, and the red-collared puppy is seen by the fire dog to be in a Budweiser chariot driven by Clydesdales. The dalmatian then sticks his tongue out at his estranged brother."
Beer,"Budweiser""Lashing""","Louie the Lizard apologizes for last year's commercial (see 1998). When the Budweiser Frogs (mainly ""Bud"" and ""Er"") turn out to be able to talk, ""Bud"" and ""Er"" slap Louie with their tongues."
Beer,"Budweiser""Lobster""","A lobster about to be cooked in a restaurant grabs a Budweiser and holds it hostage. Freaking out the restaurant, it leaves with the Budweiser."
Beer,"Bud Light""Elevator""","A man tries to hold the elevator by putting his arm in the door. The bad news is that he has a six-pack of bud Light in his hand, which the others in the elevator steal."
Beer,"Bud Light""Cat""","A woman tells her boyfriend that her cat doesn't like anyone who takes her Bud Light. He ignores her by reaching for a Bud Light. That is, until the cat turns out to be a tiger."
Beer,"Budweiser""Photo Shoot""",Louie and Frankie document a scandal which focuses on a 1979 summer photo shoot where the ferret posed nude.
Beer,"Budweiser""Which Game?""","Three men are on the phone with a guy allegedly watching the game. Their question: ""Whassup?"""
Beer,"Budweiser""Rex's Motivation""","A dog s not crying in a movie scene, so the director tells the dog to think back to his worst day. The dog's worst day was jumping over a hedge to chase a Budweiser truck, only to ram head first into the side of a lawn care truck. The dog then gives the howl of his life."
Beer,"Budweiser""We Are Not Alone""","A dog is abducted by aliens. It is revealed that the dog is actually an alien in disguise. When the leader asks what he has learned, the alien quotes the Whassup? line. It soon catches on with the alien, and an alien intelligence agency finally detects the race."
Beer,"Budweiser""What Are You Doing?""","A commercial plays that shows sharply dressed men parodying the Whassup? commercials with the line ""What are you doing?"" It is then revealed to be a commercial watched by the men from the Whassup? commercials."
Beer,"Budweiser""Clydesdale Respect""","As a tribute to the victims of the September 11th attacks, Budweiser produced a one time only advertisement. The commercial shows the Budweiser Clydesdales walking across the Brooklyn Bridge into New York City. They then stopped, gazed at the ruined New York skyline, and bowed in reverence and respect. The commercial aired only once, but was available on the website for a period of one year. A modern take on this commercial aired a decade later, with the newly-built One World Trade Center in the background skyline."
Beer,"Budweiser""Donkey""","A donkey narrates his life story, where he dreams of becoming a Budweiser Clydesdale. He trains and trains, even going to the trouble of putting puffy hooves on his feet. When his job interview comes, the five Clydesdale horses ask why he should become a Clydesdale. He responds with a donkey sound, and gets the job."
Beer,"Budweiser""Audition""","All kinds of animals come to the Budweiser Clydesdale farm to become a Clydesdale. A driver looks at the donkey from last year's Budweiser commercial and says, ""Now look what you've started."""
Beer,"Budweiser""Welcome Home""","Pedestrians are in an airport, minding their own business. People start clapping. Then, everyone is clapping, as it is revealed they are clapping for soldiers coming home from war. At the end, a title card says, ""Thank you.""Director: Joe Pytka."
Beer,"Heineken""Beer Run""","Brad Pitt buys a six-pack of Heineken at a corner shop. Soon, he is being chased by a mob of paparazzi. It ends with an anonymous phone call.Director: David Fincher"
Beer,"Bud Light""Cavemen""",Three cavemen are trying to carry a cooler of Bud Light to a party. A friend says that he has invented the wheel. But the wheel is not working when they use it as hoister to carry the Bud Light.
Beer,"Budweiser""Training""","For the Budweiser Clydesdales this year, Hank the Clydesdale is not picked. A dalmatian sees this and offers to train Hank for next year. In a tribute to Rocky, the two train like the training in the famous movie. The year after that, Hank becomes a Budweiser Clydesdale and gives a high five to his trainer."
Beer,"Bud Light""Conan""","Conan O'Brien says he will do an embarrassing Bud Light commercial, and he is promised it will only show in Sweden. He watches it in Times Square."
Beer,"Bud Light""Drinkability""",Two guys are at a ski resort. One guy shows how some skiers have more drinkability than others by drawing a ramp and some trees. The second skier crashes into the trees.
Beer,"Budweiser""Fetch""",A farmer plays fetch with his Dalmatian. A jealous Clydesdale goes and fetches a tree branch.
Beer,"Budweiser""True Love""","A Clydesdale falls in love with a dancing circus horse. He searches for her, until they both escape together from the circus. Two clowns watch this, with one of them saying, ""I didn't know Daisy was dating."""
Beer,"Miller Lite""Highlight""","The Miller Lite guy screams, ""Highlight!"""
Beer,"Bud Light""Beer House""","Several people meet a man whose house is made out of Bud Light cans. He says that some of the cans are not empty, and the people start to rush and take the house apart."
Beer,"Bud Light""Meteor""","When scientists see a meteor flying towards earth, they decide to party with Bud Light. The meteor turns out to be a rock, and they still party."
Beer,"Bud Light""T-Pain Voice""","Men who hear about a Bud Light party talk like T-Pain. Soon, T-Pain shows up at the party."
Beer,"Budweiser""Friends""","A Clydesdale and a calf are friends at a young age, though a fence separates them. Three years later, the two are reunited and the bull bursts through the fence to his friend."
Beer,"Budweiser""Human Bridge""","When the bridge is out in a small town, the population form a human bridge so that a Budweiser truck can cross into town."
Beer,"Bud Light""Hack Job""","A couple appears on a home makeover show called ""Hack Job"", discovering the only thing they have done to their kitchen was put a bucket of Bud Light on the counter."
Beer,"Bud Light""Factory""",A factory is working on the new Bud Light Platinum.
Beer,"Budweiser""The End of Prohibition""",The reactions of a town at the end of Prohibition are shown
Beer,"Budweiser""Eternal Optimism""","Various moments in 20th Century history are shown, all accompanied by people drinking Budweiser."
Beer,Budweiser,"""Puppy Love"""
Beer,"Budweiser """"""Lost Dog""""""",A little yellow labrador gets lost and finds his way home.[22]
Beer,"Bud Light """"""Coin""""""","As part of the beer's ongoing ""Up for Whatever"" campaign, a randomly-chosen person plays a life-sized version of Pac-Man.[23]"
Beer,"Bud Light """"""Bud Light Party""""""",Amy Schumer and Seth Rogen form a political party.[59]
Beer,"Bud Light """"""Ghost Spuds""""""","In a parody of A Christmas Carol, the ghost of former Bud Light mascot Spuds MacKenzie helps a man learn the importance of hanging out with friends.[73][74]"
Beer,"Budweiser """"""Born The Hard Way""""""","A story of the founder of Anheuser-Busch, Adolphus Busch, who left Germany to start a brewery in St. Louis, Missouri.[75][76][77]"
Beer,"Busch """"""BUSCHHHHH""""""","The Busch Guy explains that Busch still has the ""same great taste it's always had"", as well as the same, seemingly never-ending sound.[78][79]"
Beer,"Budweiser """"""Stand by You""""""",A Budweiser employee who is working at Anheuser-Busch's Cartersville brewery gets called to work to donate canned water for disaster relief. The ad used real employees who worked at the brewery.[114][115]
Beer,"Bud Light """"""Ye Olde Pep Talk""""""","A medieval king tries to motivate his small villager army who is vastly outnumbered, until he brings up the fact that they are out of Bud Light and that the enemy has cases of them.[116]"
Beer,"Bud Light """"""The Bud Knight""""""","The big battle is interrupted by the Bud Knight, who is on his own quest.[116][117]"
Beer,"Michelob Ultra """"""The Perfect Fit""""""",Chris Pratt prepares for his acting gig as a spokesman.[118][112]
Beer,"Michelob Ultra """"""I Like Beer""""""","Chris Pratt sings ""I Like Beer"" (a song by Tom T. Hall, covered by Jon Pardi) along with a bunch of people working out.[112][119]"
Beer,"Presidente """"""Never Left"""""" ""Features Alex Rodriguez",co-owner and chairman of the brand
Beverage,"Bubly sparkling water """"""BublÃ© vs. Bubly""""""","At a store, singer Michael BublÃ© insists on pronouncing the name of Bubly as ""BublÃ©"", even after another customer and a clerk (whom BublÃ© refers to as ""DavÃ©"") corrects him.[192][193]"
Beverage,"Pepsi """"""More Than OK""""""",
Building materials,"84 Lumber """"""The Journey""""""","A mother and daughter embark on a journey to emigrate from Mexico to the United States.[80][81] The version aired during the game was edited due to the political overtones of its conclusion, which depicts a border wall.[82][83]"
Camera,"Polaroid""Now with a Flash""","A couple walks in a park. The man shows that now you can have a flash on your Polaroid Camera, showing brighter photos."
Candy,"M&M's""Sexy Girl""",Men and women are all impressed by the green M&M.
Candy,"Snickers""Betty White""","Betty White is playing football and keeps getting tackled. A woman gives her a Snickers bar and says, ""Try this"". White turns back into a man. We[who?] then see Abe Vigoda being tackled, to which he responds, ""That hurt."" It is considered[by whom?] one of the best commercials in the Super Bowl. It was also nominated for an Emmy.[16]"
Candy,"M&M's""Just My Shell""","At a party, a brown-shelled M&M is mistaken for being naked. As a result, the red M&M tears off its skin and dances to ""Sexy and I Know It"" by LMFAO."
Candy,"Skittles """"""It Will be Settled""""""",A town settles their disputes with arm wrestling contests.[24]
Candy,"Snickers """"""The Brady Bunch""""""","In The Brady Bunch episode, a hungry Marcia (Danny Trejo) is stressing out and ""her"" parents settle her down with a Snickers bar.[25]"
Candy,"M&M's """"""Human""""""",Red M&M picks up a magic penny on the ground and uses a wish to transform into a human (Danny Devito).[120]
Candy,"M&M's Chocolate Bar """"""Bad Passenger""""""","The M&M's characters fight in the backseat of a car driven by Christina Applegate, who threatens to ""break them apart"" and eat them if they don't behave: it is revealed that they had been embedded in a chocolate bar."
Car,"Chrysler ""Scuba Diver""[4]","A scuba diver in a dreamy sequence with groovy music introduces Chrysler as ""the Possible Dream."""
Car,"Pontiac""Humbler""","A young man pulled up in his GTO to a drive-in restaurant with dramatic music and exhaust noise in the background, pulling the ""exhaust"" knob to activate the vacuum operated exhaust, drowning the noise out, and then drive off."
Car,"Nissan""Turbocharged Dream""","A Nissan 300ZX Turbo is challenged by a sportbike, racing car and a jet fighter respectively.Director: Ridley Scott[6][7][8]"
Car,"Subaru Impreza""Teaser""",This ad was produced by Wieden+Kennedy. six different commercials are used to describe the new Impreza:1. the Honda Civic have a 3-Channel ABS but The Impreza Have a 4-Channel ABS.2. The Impreza having less trouble starting the engine in cold weather condition than the Honda Civic by Eliminating the Distributor.3. With The new EJ18 Horizontally Opposed engine help The Impreza for better connering and better weight distribution Than the Honda Civic.4. The Impreza Suspension give a Smoother ride than a Double wishbone suspension Honda Civic.5. The Impreza TCU is linked with the ECU to provide seamless shifting.6. The Subaru Passenger Car which Registration in The past 10 Years are still on the road for 93 Percent According to 1991 R.L. Polk & Company Passenger Car Registration Report.Narrator: Kirstie Alley
